Coach,School,Conference,Unnamed: 3,W,L,W-L%,AP Pre,AP Post,NCAA Tournament,Unnamed: 10,Since,W.1,L.1,W-L%.1,NCAA,S16,FF,Chmp,Unnamed: 19,W.2,L.2,W-L%.2,NCAA.1,S16.1,FF.1,Chmp.1
Dan Hurley,Rhode Island,A-10,,25,10,0.714,23.0,,Lost Second Round,,2012-13,87,74,0.54,1.0,,,,,125,97,0.563,1.0,,,
Martin Ingelsby,Delaware,CAA,,13,20,0.394,,,,,2016-17,13,20,0.394,,,,,,13,20,0.394,,,,
George Ivory,Arkansas-Pine Bluff,SWAC,,7,25,0.219,,,,,2008-09,105,182,0.366,1.0,,,,,105,182,0.366,1.0,,,
Tom Izzo,Michigan State,Big Ten,,20,15,0.571,12.0,,Lost Second Round,,1995-96,544,220,0.712,20.0,13.0,7.0,1.0,,544,220,0.712,20.0,13.0,7.0,1.0
Lewis Jackson,Alabama State,SWAC,,8,23,0.258,,,,,2005-06,179,196,0.477,2.0,,,,,179,196,0.477,2.0,,,
Ben Jacobson,Northern Iowa,MVC,,14,16,0.467,,,,,2006-07,234,134,0.636,4.0,1.0,,,,234,134,0.636,4.0,1.0,,
Tim Jankovich,Southern Mississippi,AAC,,30,5,0.857,,11.0,Lost First Round,,2015-16,39,5,0.886,1.0,,,,,196,126,0.609,1.0,,,
Tony Jasick,Jacksonville,A-Sun,,17,16,0.515,,,,,2014-15,43,54,0.443,,,,,,95,101,0.485,,,,
Avery Johnson,Alabama,SEC,,19,15,0.559,,,,,2015-16,37,30,0.552,,,,,,37,30,0.552,,,,
Sydney Johnson,Fairfield,MAAC,,16,15,0.516,,,,,2011-12,90,109,0.452,,,,,,156,162,0.491,1.0,,,
Brian Jones,North Dakota,Big Sky,,22,10,0.688,,,Lost First Round,,2009-10,124,135,0.479,1.0,,,,,124,135,0.479,1.0,,,
James Jones,Yale,Ivy,,18,11,0.621,,,,,1999-00,272,250,0.521,1.0,,,,,272,250,0.521,1.0,,,
Jeff Jones,Old Dominion,CUSA,,19,12,0.613,,,,,2013-14,89,51,0.636,,,,,,446,338,0.569,7.0,2.0,,
Joe Jones,Boston University,Patriot,,18,14,0.562,,,,,2011-12,107,86,0.554,,,,,,193,194,0.499,,,,
Johnny Jones,Louisiana State,SEC,,10,21,0.323,,,,,2012-13,90,72,0.556,1.0,,,,,295,234,0.558,3.0,,,
Mike Jones,Radford,Big South,,14,18,0.438,,,,,2011-12,93,103,0.474,,,,,,93,103,0.474,,,,
Robert Jones,Norfolk State,MEAC,,17,17,0.5,,,,,2013-14,73,63,0.537,,,,,,73,63,0.537,,,,
LaVall Jordan,Milwaukee,Horizon,,11,24,0.314,,,,,2016-17,11,24,0.314,,,,,,11,24,0.314,,,,
