Rk,School,Conf,Unnamed: 3,AP Rank,W,L,Pts,Opp,MOV,Unnamed: 10,SOS,Unnamed: 12,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
204,Sam Houston,CUSA,,,11,9,72.1,71.7,0.35,,-0.46,,-0.62,-2.62,-3.23,100.95,105.41,-4.46
205,Rice,AAC,,,7,12,72.5,75.2,-2.68,,2.02,,-2.37,-0.89,-3.26,101.88,106.33,-4.44
206,Abilene Christian,WAC,,,8,11,75.4,75.0,0.37,,-1.02,,-0.33,-3.13,-3.47,100.41,105.12,-4.71
207,Radford,Big South,,,12,9,73.0,70.5,2.48,,-1.85,,-4.27,0.73,-3.53,103.5,108.59,-5.09
208,Fairfield,MAAC,,,12,7,76.6,71.3,5.32,,-6.59,,0.6,-4.19,-3.59,103.83,108.75,-4.92
209,Green Bay,Horizon,,,13,9,67.7,66.7,1.0,,-2.26,,-7.45,3.84,-3.61,102.09,107.49,-5.4
210,Quinnipiac,MAAC,,,15,4,78.8,71.8,6.95,,-7.18,,1.41,-5.03,-3.62,102.01,107.1,-5.09
211,Gardner-Webb,Big South,,,9,12,74.0,72.9,1.1,,0.54,,-0.89,-2.84,-3.74,99.97,104.65,-4.68
212,New Hampshire,AEC,,,12,7,76.7,72.9,3.79,,-3.48,,0.23,-3.98,-3.75,99.53,104.68,-5.16
213,Merrimack,NEC,,,11,10,68.1,66.7,1.43,,-4.23,,-8.26,4.3,-3.97,94.39,100.21,-5.83
214,Saint Peter's,MAAC,,,10,7,65.3,64.1,1.18,,-5.04,,-10.83,6.85,-3.97,96.85,102.29,-5.44
215,San Diego,WCC,,,11,10,72.6,76.7,-4.1,,1.43,,0.28,-4.28,-3.99,100.77,105.88,-5.12
216,Marshall,Sun Belt,,,9,11,73.7,76.8,-3.1,,-1.06,,-1.0,-3.17,-4.16,97.64,103.05,-5.41
217,Eastern Kentucky,A-Sun,,,10,9,81.2,75.4,5.74,,-1.16,,-1.42,-2.86,-4.28,101.76,107.17,-5.41
