Rk,School,G,W,L,W-L%,SRS,SOS,Unnamed: 8,W.1,L.1,Unnamed: 11,W.2,L.2,Unnamed: 14,W.3,L.3,Unnamed: 17,Tm.,Opp.,Unnamed: 20,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
337,Vermont,24,18,6,.750,2.35,-3.42,,8,1,,10,1,,6,4,,1741,1514,,965,561,1370,.409,156,483,.323,236,335,.704,199,793,245,118,62,229,352
338,Villanova,23,12,11,.522,14.57,9.53,,5,7,,7,4,,2,6,,1659,1543,,945,549,1317,.417,178,549,.324,267,373,.716,206,793,306,132,96,252,351
339,Virginia,23,18,5,.783,12.65,4.44,,9,3,,13,0,,3,4,,1498,1309,,925,467,1200,.389,150,479,.313,223,307,.726,219,779,244,125,58,308,304
340,Virginia Commonwealth,23,15,8,.652,9.18,2.62,,7,3,,10,5,,4,1,,1666,1515,,925,520,1314,.396,133,460,.289,342,458,.747,235,760,230,167,56,250,407
341,VMI,24,4,20,.167,-18.07,-2.88,,1,10,,4,7,,0,11,,1722,1953,,965,711,1584,.449,221,632,.350,310,472,.657,277,923,359,209,77,277,379
342,Virginia Tech,22,13,9,.591,12.31,7.22,,5,6,,10,2,,1,5,,1635,1523,,880,555,1263,.439,146,436,.335,267,369,.724,202,693,273,142,65,267,368
343,Wagner,22,11,11,.500,-10.85,-8.45,,5,5,,6,2,,5,9,,1418,1382,,890,505,1187,.425,147,489,.301,225,330,.682,199,775,307,101,68,253,302
344,Wake Forest,22,15,7,.682,15.91,5.22,,7,4,,12,0,,2,5,,1775,1540,,890,557,1314,.424,131,413,.317,295,398,.741,200,719,223,130,77,258,392
345,Washington,23,12,11,.522,12.45,8.75,,4,8,,9,4,,2,5,,1871,1786,,940,637,1432,.445,167,493,.339,345,504,.685,257,817,323,143,79,272,442
346,Washington State,23,17,6,.739,13.97,5.44,,8,4,,11,1,,4,3,,1745,1549,,930,539,1314,.410,137,422,.325,334,443,.754,207,744,243,113,65,245,403
347,Weber State,24,15,9,.625,2.55,-2.31,,6,5,,9,2,,5,5,,1818,1569,,965,586,1322,.443,150,465,.323,247,357,.692,180,775,300,123,68,293,431
348,West Virginia,22,8,14,.364,5.17,9.49,,3,6,,8,6,,0,4,,1507,1602,,885,578,1345,.430,184,552,.333,262,358,.732,237,804,308,156,83,236,391
349,Western Carolina,24,17,7,.708,0.76,-3.58,,6,5,,9,3,,8,4,,1856,1658,,970,606,1464,.414,142,424,.335,304,441,.689,230,840,207,131,62,234,392
350,Western Illinois,24,15,9,.625,-7.34,-5.94,,8,3,,7,3,,8,6,,1680,1563,,970,590,1447,.408,133,456,.292,250,353,.708,236,781,253,175,76,250,394
351,Western Kentucky,23,16,7,.696,0.38,-2.88,,5,4,,10,1,,5,4,,1857,1722,,921,609,1481,.411,182,600,.303,322,451,.714,254,849,299,172,90,329,411
352,Western Michigan,23,8,15,.348,-7.52,-2.07,,5,6,,4,6,,2,9,,1662,1726,,930,615,1377,.447,179,520,.344,317,442,.717,248,790,322,163,50,257,407
353,Wichita State,23,10,13,.435,2.27,3.73,,2,8,,8,3,,1,7,,1677,1679,,920,610,1469,.415,197,597,.330,262,362,.724,257,827,314,182,81,239,353
354,William & Mary,24,8,16,.333,-11.70,-5.56,,3,8,,6,5,,2,9,,1720,1751,,965,621,1385,.448,177,529,.335,332,453,.733,221,844,290,142,87,239,423
355,Winthrop,25,15,10,.600,0.13,-2.96,,6,4,,10,3,,5,7,,1962,1748,,1025,603,1469,.410,186,630,.295,356,473,.753,283,859,300,170,107,342,534
356,Wisconsin,23,16,7,.696,17.74,10.61,,8,4,,11,2,,3,5,,1728,1564,,925,562,1244,.452,160,448,.357,280,399,.702,171,680,248,105,84,263,431
357,Wofford,24,13,11,.542,-4.18,-1.04,,6,5,,9,1,,4,7,,1833,1811,,980,627,1431,.438,207,586,.353,350,466,.751,206,796,309,161,75,224,406
358,Wright State,25,14,11,.560,-0.62,-2.70,,9,5,,7,4,,5,6,,2149,2035,,1005,741,1566,.473,217,600,.362,336,473,.710,258,808,344,181,65,294,447
359,Wyoming,23,12,11,.522,-0.13,5.20,,5,5,,8,2,,1,8,,1681,1724,,925,639,1414,.452,187,564,.332,259,351,.738,245,770,303,199,93,264,462
360,Xavier,23,13,10,.565,14.40,10.36,,7,5,,10,4,,2,5,,1752,1659,,920,590,1425,.414,165,497,.332,314,444,.707,264,833,356,150,108,264,424
361,Yale,21,15,6,.714,5.04,0.14,,6,0,,6,1,,7,4,,1594,1393,,855,496,1219,.407,166,498,.333,235,312,.753,176,686,280,113,73,234,328
362,Youngstown State,25,18,7,.720,3.34,-3.85,,10,4,,12,1,,6,6,,2061,1751,,1005,635,1533,.414,185,558,.332,296,429,.690,253,844,341,157,73,306,417
