Rk,School,G,W,L,W-L%,SRS,SOS,Unnamed: 8,W.1,L.1,Unnamed: 11,W.2,L.2,Unnamed: 14,W.3,L.3,Unnamed: 17,Tm.,Opp.,Unnamed: 20,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
66,Davidson,19,12,7,.632,3.92,1.40,,2,4,,7,3,,3,3,,1386,1285,,66.6,108.1,.345,.437,.548,50.2,51.5,9.8,7.4,.515,13.4,26.8,.246
67,Dayton,18,16,2,.889,15.25,5.03,,6,0,,9,0,,4,1,,1333,1149,,63.6,116.5,.371,.457,.601,50.4,61.2,9.0,11.5,.570,14.0,28.4,.274
68,Delaware,20,12,8,.600,0.56,-3.08,,4,3,,5,2,,5,4,,1525,1423,,68.7,110.3,.292,.349,.557,50.9,53.7,9.0,7.1,.529,13.1,28.2,.210
69,Delaware State,19,10,9,.526,-11.57,-6.04,,3,0,,5,2,,3,6,,1362,1376,,71.5,97.1,.352,.238,.509,53.8,48.0,11.7,5.7,.469,17.9,33.7,.249
70,Denver,21,13,8,.619,-1.93,-3.70,,4,2,,8,1,,4,6,,1809,1684,,71.9,117.0,.405,.362,.574,50.6,47.2,8.2,9.7,.533,11.6,30.5,.303
71,DePaul,19,3,16,.158,-4.97,8.19,,0,8,,3,9,,0,5,,1246,1496,,68.1,96.3,.325,.352,.530,45.5,57.0,6.9,10.0,.496,17.9,22.1,.233
72,Detroit Mercy,21,0,21,.000,-18.89,-1.42,,0,10,,0,7,,0,14,,1331,1698,,68.3,91.7,.278,.367,.482,44.6,44.2,10.0,5.9,.443,17.2,27.2,.203
73,Drake,20,16,4,.800,11.28,-0.51,,7,2,,10,0,,3,3,,1595,1351,,68.1,115.0,.298,.404,.587,51.5,56.2,9.7,5.7,.559,12.4,25.5,.222
74,Drexel,21,14,7,.667,3.33,-3.52,,7,1,,8,1,,5,6,,1558,1353,,65.7,112.2,.307,.322,.550,56.7,47.2,7.8,11.4,.518,14.0,36.3,.223
75,Duke,18,14,4,.778,18.80,4.07,,5,2,,9,2,,3,2,,1471,1206,,68.9,118.6,.363,.368,.586,53.1,56.8,10.2,11.2,.551,11.7,29.7,.271
76,Duquesne,18,10,8,.556,6.57,4.57,,1,5,,7,3,,1,4,,1307,1225,,68.8,105.6,.339,.418,.530,51.0,51.2,11.3,11.7,.497,15.0,32.9,.238
77,East Carolina,20,10,10,.500,0.26,-0.11,,3,4,,8,6,,2,3,,1401,1364,,66.1,105.9,.363,.359,.516,50.8,46.2,12.2,8.2,.481,13.8,34.6,.250
78,East Tennessee State,20,10,10,.500,-5.66,-2.55,,2,5,,6,2,,3,8,,1433,1410,,69.8,102.7,.332,.423,.503,50.6,46.0,10.0,12.3,.463,14.4,33.1,.237
79,Eastern Illinois,20,10,10,.500,-10.35,-3.73,,4,3,,6,3,,3,7,,1406,1337,,68.1,103.2,.260,.284,.513,51.6,52.7,12.2,7.8,.481,13.6,30.3,.190
80,Eastern Kentucky,19,10,9,.526,-4.28,-1.16,,6,0,,8,3,,2,6,,1542,1433,,73.5,109.6,.301,.357,.535,52.9,51.7,10.0,14.9,.512,13.7,35.0,.198
81,Eastern Michigan,19,8,11,.421,-14.01,-4.01,,1,6,,6,3,,2,7,,1271,1423,,67.1,98.5,.282,.314,.510,48.6,42.1,8.4,6.2,.482,15.4,27.4,.192
82,Eastern Washington,19,12,7,.632,1.37,1.01,,6,0,,6,0,,6,7,,1501,1375,,70.8,111.6,.325,.433,.605,50.8,63.7,8.6,10.4,.576,16.6,25.4,.244
83,Elon,20,8,12,.400,-10.88,-4.38,,1,6,,6,3,,0,9,,1535,1547,,69.1,111.2,.311,.400,.560,50.2,49.5,8.8,8.3,.533,14.7,32.2,.220
84,Evansville,20,11,9,.550,-4.35,-0.19,,2,7,,7,2,,3,7,,1483,1492,,71.5,102.4,.275,.338,.538,49.3,51.7,9.5,10.1,.513,14.7,23.8,.191
85,Fairfield,19,12,7,.632,-3.59,-6.59,,6,2,,5,2,,7,4,,1455,1354,,70.2,109.1,.274,.407,.562,49.0,53.9,11.4,6.1,.528,14.8,28.4,.214
86,Fairleigh Dickinson,21,9,12,.429,-14.77,-7.62,,3,3,,4,5,,5,6,,1622,1656,,74.2,103.5,.333,.418,.529,48.5,56.0,11.0,5.9,.495,15.2,28.7,.237
87,Florida,19,13,6,.684,14.70,5.86,,3,3,,8,1,,1,3,,1606,1438,,73.1,114.2,.387,.349,.543,55.9,50.4,9.2,11.5,.511,13.9,40.4,.262
88,Florida A&M,16,3,13,.188,-15.50,2.43,,1,4,,1,4,,2,8,,1097,1325,,70.5,95.8,.240,.289,.510,49.0,56.0,8.0,7.7,.485,17.8,28.5,.167
89,Florida Atlantic,20,16,4,.800,15.21,4.01,,6,1,,7,1,,3,2,,1667,1443,,69.1,118.4,.331,.392,.585,53.0,51.2,10.5,7.3,.561,13.6,34.2,.232
90,Florida Gulf Coast,21,8,13,.381,-7.65,-1.26,,2,4,,6,3,,1,7,,1466,1536,,65.7,105.6,.298,.394,.538,51.3,47.1,8.3,9.7,.513,15.1,31.0,.202
91,Florida International,20,7,13,.350,-6.61,-1.66,,2,3,,6,3,,1,7,,1540,1543,,73.7,103.8,.288,.415,.544,46.7,55.5,15.4,9.7,.522,17.2,29.2,.193
92,Florida State,19,12,7,.632,11.21,7.48,,6,2,,7,4,,3,2,,1463,1392,,72.9,104.9,.375,.319,.530,48.8,47.9,12.5,11.6,.494,14.1,28.8,.260
93,Fordham,19,9,10,.474,-0.25,-1.41,,3,3,,4,7,,3,1,,1424,1402,,71.7,101.9,.390,.406,.513,50.5,53.1,11.8,12.2,.482,15.7,32.9,.254
94,Fresno State,19,8,11,.421,-3.23,1.55,,1,5,,6,4,,1,5,,1314,1389,,67.1,101.8,.300,.357,.552,48.9,48.5,9.4,7.4,.534,17.8,25.7,.195
95,Furman,20,11,9,.550,1.62,-1.68,,5,2,,9,1,,2,6,,1634,1525,,73.7,109.4,.314,.462,.554,52.6,60.0,10.4,7.3,.526,15.2,31.7,.223
96,Gardner-Webb,21,9,12,.429,-3.74,0.54,,4,2,,6,2,,2,7,,1554,1531,,71.1,102.9,.338,.364,.517,50.7,47.1,8.5,6.1,.490,13.6,28.2,.220
97,George Mason,19,14,5,.737,6.84,0.56,,3,3,,10,1,,3,3,,1386,1249,,66.3,110.0,.367,.365,.565,53.9,46.0,8.3,10.4,.526,15.4,31.7,.275
98,George Washington,19,14,5,.737,2.40,-2.65,,3,3,,11,1,,1,3,,1547,1441,,72.5,107.4,.368,.402,.572,50.7,47.2,8.3,13.1,.534,16.6,26.7,.274
99,Georgetown,19,8,11,.421,1.48,3.48,,1,7,,7,6,,1,5,,1380,1418,,67.5,106.2,.365,.418,.532,50.4,52.3,8.8,10.2,.491,15.6,34.4,.266
100,Georgia,19,14,5,.737,9.76,5.18,,4,2,,11,1,,3,1,,1448,1361,,71.4,106.8,.432,.401,.542,49.4,49.8,9.1,9.3,.497,14.0,27.8,.312
101,Georgia Southern,20,4,16,.200,-11.72,-2.52,,4,4,,3,2,,1,11,,1403,1587,,69.8,100.6,.279,.467,.529,45.8,42.9,9.9,10.2,.502,16.9,27.6,.196
102,Georgia State,19,9,10,.474,-4.90,-3.08,,4,4,,6,1,,3,9,,1495,1417,,71.5,109.4,.283,.371,.540,51.4,43.2,8.3,7.1,.505,12.4,29.6,.215
103,Georgia Tech,19,9,10,.474,4.83,6.83,,2,6,,5,5,,2,4,,1388,1426,,68.2,104.4,.309,.408,.523,52.0,51.2,6.9,11.5,.496,15.2,33.7,.208
104,Gonzaga,19,14,5,.737,16.76,2.59,,5,1,,9,1,,2,2,,1617,1296,,72.5,117.4,.326,.320,.578,55.9,51.7,10.2,9.4,.555,13.0,35.2,.224
105,Grambling,18,7,11,.389,-11.45,0.68,,4,1,,5,1,,2,8,,1192,1307,,68.1,97.2,.333,.273,.516,49.0,39.6,10.9,6.5,.479,17.6,30.1,.235
106,Grand Canyon,20,18,2,.900,9.63,-1.58,,8,1,,10,0,,5,1,,1603,1340,,70.3,114.0,.440,.360,.580,55.2,44.7,11.8,14.4,.540,15.8,36.1,.323
107,Green Bay,22,13,9,.591,-3.61,-2.26,,8,3,,8,1,,5,7,,1490,1468,,63.5,106.0,.256,.483,.569,51.1,52.3,7.2,6.4,.545,17.4,27.5,.186
108,Hampton,20,4,16,.200,-17.62,-4.33,,0,8,,3,6,,0,8,,1533,1594,,72.9,105.1,.305,.384,.543,50.5,49.7,9.3,7.1,.513,15.9,30.7,.216
109,Harvard,16,10,6,.625,-2.59,-1.72,,1,2,,6,2,,4,4,,1154,1139,,68.4,104.7,.347,.392,.547,48.8,52.8,8.0,11.1,.516,15.1,26.2,.243
110,Hawaii,20,10,10,.500,-0.16,-1.10,,2,6,,7,6,,1,3,,1401,1343,,67.2,103.6,.355,.445,.547,51.3,51.2,7.1,6.9,.517,16.3,27.1,.245
111,High Point,21,17,4,.810,1.75,-5.47,,6,0,,11,0,,4,3,,1784,1544,,69.4,121.6,.452,.406,.585,57.9,44.0,7.4,8.7,.535,12.8,38.5,.351
112,Hofstra,20,11,9,.550,1.35,-0.54,,4,3,,6,2,,2,7,,1504,1415,,68.1,109.8,.210,.484,.573,47.6,56.3,8.9,10.7,.551,14.2,23.7,.159
