Rk,School,G,W,L,W-L%,SRS,SOS,Unnamed: 8,W.1,L.1,Unnamed: 11,W.2,L.2,Unnamed: 14,W.3,L.3,Unnamed: 17,Tm.,Opp.,Unnamed: 20,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
141,Le Moyne,32,15,17,.469,-10.94,-9.42,,9,7,,10,3,,5,14,,2318,2245,,69.2,101.0,.257,.433,.522,52.8,56.6,9.0,7.6,.495,16.5,30.1,.183
142,Lehigh,32,14,18,.438,-7.28,-6.41,,9,9,,6,7,,8,11,,2326,2272,,69.9,99.3,.288,.370,.532,50.3,46.9,9.1,9.8,.504,16.1,23.1,.200
143,Liberty,32,18,14,.563,1.78,-1.36,,7,9,,12,3,,2,8,,2362,2096,,66.0,98.5,.286,.323,.522,48.9,40.3,8.8,11.8,.489,15.6,23.8,.207
144,Lindenwood,31,9,22,.290,-18.43,-6.93,,3,15,,4,10,,3,12,,2019,2266,,68.1,106.9,.378,.383,.568,53.2,51.2,9.1,9.8,.533,16.3,28.3,.274
145,Lipscomb,32,20,12,.625,-1.62,-4.72,,11,5,,12,2,,6,9,,2626,2448,,71.2,107.5,.228,.374,.548,51.2,41.8,7.2,9.8,.526,14.2,28.3,.163
146,Little Rock,33,21,12,.636,-2.96,-8.14,,14,4,,14,4,,6,6,,2553,2382,,69.8,102.6,.351,.377,.522,48.4,48.1,7.8,7.3,.479,15.4,30.4,.260
147,Long Beach State,35,21,14,.600,-0.99,-1.59,,10,10,,8,5,,9,7,,2721,2650,,72.7,103.4,.315,.437,.540,47.9,58.8,9.6,5.8,.507,16.4,29.2,.228
148,Long Island University,29,7,22,.241,-17.72,-7.44,,6,10,,5,5,,1,17,,1929,2227,,71.3,106.8,.410,.343,.544,52.0,54.9,12.0,10.2,.508,13.9,28.7,.284
149,Longwood,34,21,13,.618,-1.48,-5.58,,6,10,,13,3,,6,10,,2569,2310,,68.3,98.3,.349,.399,.536,43.3,49.6,9.0,6.8,.504,17.9,24.2,.241
150,Louisiana,33,19,14,.576,-0.32,-2.39,,10,8,,11,3,,5,9,,2504,2365,,70.4,101.8,.399,.318,.536,50.8,43.9,9.9,9.9,.493,18.1,32.3,.288
151,Louisiana State,32,17,15,.531,8.64,6.98,,9,9,,12,5,,3,7,,2443,2390,,70.8,105.0,.335,.414,.536,49.5,48.8,11.5,11.3,.495,15.7,31.2,.254
152,Louisiana Tech,32,22,10,.688,5.05,-1.47,,12,4,,14,2,,8,7,,2392,2065,,67.5,94.9,.316,.364,.490,45.8,45.5,10.2,8.1,.451,16.2,27.9,.224
153,Louisiana-Monroe,30,11,19,.367,-9.73,-2.13,,6,12,,8,6,,3,12,,2096,2233,,69.1,107.3,.368,.452,.553,48.0,58.8,10.0,8.8,.514,15.4,29.3,.271
154,Louisville,32,8,24,.250,0.37,7.43,,3,17,,7,11,,1,10,,2304,2530,,70.4,111.8,.338,.392,.577,50.2,55.3,10.7,9.7,.546,14.3,27.5,.247
155,Loyola (IL),32,23,9,.719,7.06,2.38,,15,3,,15,2,,7,4,,2350,2154,,69.4,96.3,.366,.361,.508,47.8,49.6,9.6,11.9,.462,15.9,24.8,.269
156,Loyola (MD),32,7,25,.219,-15.96,-6.73,,5,13,,2,11,,5,13,,2049,2301,,65.7,108.2,.323,.369,.559,48.9,51.9,11.0,10.9,.532,13.8,25.8,.226
157,Loyola Marymount,31,12,19,.387,0.07,0.44,,5,11,,8,8,,3,7,,2244,2214,,66.4,107.6,.293,.318,.535,48.3,51.2,8.7,10.2,.502,11.3,26.7,.214
158,Maine,32,15,17,.469,-6.19,-4.67,,7,9,,8,4,,5,13,,2164,2159,,68.1,98.3,.321,.328,.522,52.0,52.1,9.2,9.0,.492,17.0,27.3,.220
159,Manhattan,30,7,23,.233,-15.07,-4.66,,4,16,,3,10,,4,12,,1985,2275,,69.2,108.2,.264,.338,.553,53.5,60.1,11.6,11.1,.526,14.8,30.5,.194
160,Marist,31,18,13,.581,-5.39,-7.84,,12,8,,9,4,,8,8,,2004,1928,,65.5,94.9,.350,.383,.506,50.8,43.9,10.3,7.6,.471,18.0,26.8,.238
161,Marquette,34,25,9,.735,19.57,10.98,,14,6,,14,2,,7,5,,2662,2370,,69.3,100.2,.282,.431,.532,52.0,59.2,8.1,8.4,.497,18.3,30.8,.213
162,Marshall,33,13,20,.394,-5.12,-1.09,,7,11,,8,7,,3,9,,2435,2531,,72.5,105.7,.295,.349,.539,49.7,48.2,10.3,7.0,.510,14.3,28.0,.208
163,Maryland,33,16,17,.485,10.86,7.71,,7,13,,11,6,,4,8,,2278,2174,,66.3,98.3,.335,.301,.514,49.3,48.0,8.7,10.3,.467,16.4,29.1,.256
164,Maryland-Baltimore County,32,11,21,.344,-8.50,-5.76,,6,10,,6,9,,5,12,,2517,2583,,74.7,107.6,.286,.361,.534,51.7,45.5,10.8,7.3,.502,13.1,30.6,.209
165,Maryland-Eastern Shore,29,9,20,.310,-17.26,-6.26,,4,10,,9,4,,0,15,,1890,2046,,68.3,102.0,.365,.355,.528,51.6,49.3,10.5,7.9,.496,16.9,31.5,.248
166,Massachusetts,31,20,11,.645,7.80,1.09,,11,7,,13,3,,4,6,,2401,2193,,69.2,101.8,.386,.384,.528,47.0,55.1,9.0,8.3,.485,16.4,30.1,.279
167,Massachusetts-Lowell,32,22,10,.688,-1.12,-5.91,,11,5,,12,3,,10,7,,2561,2261,,72.6,96.6,.252,.341,.491,44.9,42.7,10.8,8.7,.463,14.1,26.1,.174
