Away,Home,W-L%,SRS,SOS,FG%,3PA,3P%,FT%,PPG,Big10,Big12,ACC,SEC,BigEast,BlueBlood,Championships,Conf_W-L%,Home_W-L%,Away_W-L%,3P-G,3PA-G,FG-G,FGA-G,FT-G,FTA-G,ORB-G,TRB-G,AST-G,STL-G,BLK-G,TOV-G,PF-G,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,Coach W/L,Coach Team NCAA,Coach Team S16,Coach Team F4,Coach Team Champs,Coach C W/L,Coach C NCAA,Coach C S16,Coach C F4,Coach C Champs,OSRS,DSRS,DRtg,Score_Dif
Iowa State,Kentucky,0.2739999999999999,11.41,0.6099999999999994,0.1019999999999999,-250,-0.007000000000000006,0.039,10,0,-1,0,1,0,1,8,0.33333333333333337,0.11111111111111116,0.5252525252525253,-2.7911764705882356,-6.938235294117646,5.675,-0.6573529411764709,2.2411764705882353,1.9823529411764707,-1.9926470588235294,1.5926470588235295,1.7161764705882352,0.511764705882353,5.6573529411764705,-1.1808823529411765,-1.5720588235294115,-1.0999999999999943,16.500000000000004,0.036999999999999894,-0.1219999999999998,0.0779999999999999,2.200000000000003,-4.000000000000007,0.8000000000000007,15.200000000000001,0.07799999999999999,-1.3000000000000025,-0.29999999999999405,0.041999999999999996,0.28800000000000003,2.0,3.0,2.0,1.0,0.18900000000000006,13.0,10.0,4.0,1,5.0600000000000005,6.34,-9.289999999999992,16
Kansas State,Syracuse,0.252,6.65,0.4899999999999993,0.052000000000000005,-78,0.023999999999999896,0.0399999999999998,7,0,-1,1,0,0,0,1,0.38888888888888884,0.2666666666666667,0.30000000000000004,-0.2055692055692055,-2.104832104832105,2.7936117936117935,-0.5135135135135136,0.733005733005733,-0.1687141687141689,-4.822276822276821,-6.301392301392301,-1.0679770679770682,5.076986076986077,2.7043407043407046,-3.883701883701884,0.3914823914823913,-1.7999999999999972,9.799999999999995,0.004999999999999999,-0.033999999999999905,0.051,-9.199999999999989,-11.899999999999999,7.699999999999999,7.899999999999999,0.0500000000000001,-3.8999999999999986,-10.300000000000004,0.019000000000000003,0.06099999999999994,25.0,15.0,3.0,1.0,0.06099999999999994,25.0,15.0,3.0,1,3.4800000000000004,3.1800000000000006,-1.2999999999999972,16
Gonzaga,Ohio State,0.007000000000000006,10.09,5.82,0.009000000000000008,-55,-0.059000000000000004,-0.0329999999999999,4,1,0,0,0,0,0,1,-0.09027777777777779,-0.042763157894736836,0.036363636363636376,-1.4125874125874125,-1.0839160839160842,3.988344988344988,7.874125874125874,-2.298368298368298,-2.4242424242424248,2.2587412587412588,2.2237762237762237,1.8997668997669002,2.524475524475524,-0.46153846153846156,-3.4335664335664333,2.2634032634032635,0.4000000000000057,6.299999999999983,-0.095,-0.0659999999999999,-0.020999999999999908,3.4000000000000057,-0.4999999999999929,3.8000000000000007,0.7000000000000002,-0.012000000000000108,-5.200000000000001,4.699999999999999,-0.07799999999999999,-0.019000000000000017,-7.0,0.0,2.0,0.0,-0.02100000000000002,-3.0,1.0,2.0,0,5.69,4.3999999999999995,-9.040000000000006,7
Colorado,Baylor,0.122,8.629999999999999,2.299999999999999,0.007000000000000103,114,0.025999999999999995,0.024000000000000007,5,0,1,0,0,0,0,1,0.05555555555555547,-0.05147058823529416,0.3636363636363637,1.543859649122807,3.1915204678362574,2.5453216374269005,4.644736842105263,-1.710526315789474,-3.271929824561404,1.5219298245614037,2.327485380116959,1.1403508771929824,1.077485380116959,1.9502923976608186,-1.0087719298245612,0.17251461988304095,1.0999999999999943,7.200000000000003,-0.093,0.031999999999999904,0.010999999999999899,3.5999999999999943,-1.500000000000007,1.5999999999999979,5.5,0.0170000000000001,-1.7999999999999974,3.9999999999999964,-0.055,-0.08999999999999997,2.0,2.0,0.0,0.0,0.03599999999999992,2.0,2.0,0.0,0,8.139999999999999,0.4900000000000002,-2.1299999999999955,17
Murray State,Marquette,-0.16799999999999993,8.180000000000001,10.1,-0.001000000000000098,-202,-0.08299999999999999,-0.027000000000000003,-3,0,0,0,0,1,0,1,-0.1597222222222222,0.008928571428571397,-0.4545454545454546,-3.342857142857143,-5.986147186147186,0.05974025974025965,-0.39913419913419923,0.19740259740259702,1.019047619047619,-0.8761904761904763,-2.5696969696969694,0.5896103896103901,-0.5480519480519479,-2.4060606060606062,-0.647619047619048,-0.3463203463203459,4.6000000000000085,-5.4000000000000075,0.010999999999999899,-0.1079999999999999,-0.029999999999999895,-3.6000000000000085,0.8999999999999986,-0.9999999999999991,-5.0,-0.0330000000000001,-0.5,-3.1999999999999957,-0.004000000000000101,-0.2579999999999999,3.0,2.0,0.0,0.0,-0.29899999999999993,3.0,2.0,0.0,0,8.86,-0.6699999999999999,-4.509999999999991,9
Vanderbilt,Wisconsin,0.028000000000000025,3.3299999999999983,0.20000000000000107,-0.0060000000000001025,211,-0.0050000000000000044,0.0569999999999999,3,1,0,0,-1,0,0,1,0.04166666666666663,0.05555555555555558,0.09090909090909094,1.5277777777777772,5.861111111111112,1.8055555555555558,5.277777777777778,-2.0,-4.166666666666666,1.7777777777777777,1.5,2.4722222222222223,1.7777777777777777,0.7222222222222223,-2.2777777777777777,-0.3888888888888893,-6.799999999999997,6.700000000000003,-0.10600000000000001,0.08500000000000009,0.004000000000000101,2.3999999999999915,8.500000000000007,2.8,2.4000000000000004,0.0040000000000000036,-3.3999999999999995,3.499999999999997,-0.056000000000000105,0.10499999999999998,5.0,3.0,0.0,0.0,0.06599999999999995,3.0,3.0,0.0,0,-8.78,12.12,-7.709999999999994,3
New Mexico,Louisville,-0.050000000000000044,0.5900000000000016,5.68,-0.0400000000000001,3,-0.054000000000000006,-0.006999999999999996,-6,0,0,1,0,0,0,2,-0.15873015873015872,-0.07499999999999996,-0.15454545454545454,-1.082142857142857,0.03928571428571431,-1.4928571428571433,1.3428571428571427,-2.157142857142857,-2.9000000000000004,-1.032142857142857,-3.9642857142857144,-3.339285714285714,0.6678571428571429,0.3107142857142857,-0.5607142857142857,1.282142857142857,0.7000000000000028,-9.600000000000009,-0.06300000000000011,-0.007,-0.0499999999999999,-6.0,-10.200000000000005,0.8999999999999986,1.0,-0.0510000000000001,-0.5,-5.100000000000001,-0.0460000000000001,-0.01100000000000001,7.0,4.0,2.0,0.0,0.08899999999999997,11.0,9.0,6.0,1,-1.9099999999999993,2.5,-5.109999999999999,3
Saint Louis,Michigan State,0.019000000000000017,6.17,5.760000000000001,0.0629999999999999,-398,0.0170000000000001,-0.005,1,1,0,0,0,0,0,2,-0.02777777777777779,0.00694444444444442,0.09090909090909094,-3.437201907790143,-11.324324324324325,2.031001589825119,-3.4268680445151034,0.6406995230524646,1.0786963434022256,0.42527821939586663,7.209062003179651,0.14864864864864824,-0.843402225755167,2.003179650238474,3.7138314785373607,0.7066772655007949,1.8999999999999915,1.4000000000000092,0.044,-0.19599999999999979,0.033,11.400000000000006,-5.6,-1.3000000000000007,7.6000000000000005,0.033,5.0,7.599999999999998,0.028999999999999998,0.13,14.0,10.0,6.0,1.0,0.0040000000000000036,2.0,6.0,5.0,1,6.25,-0.08999999999999986,-3.6400000000000006,4
Purdue,Kansas,0.19199999999999995,7.839999999999998,1.879999999999999,0.0939999999999999,-176,-0.0280000000000001,0.014999999999999899,6,-1,1,0,0,0,1,4,0.33333333333333326,0.23529411764705888,0.30000000000000004,-2.3018315018315016,-4.8791208791208796,3.2512820512820513,-4.436630036630037,1.7142857142857144,2.0124542124542124,-0.34505494505494505,7.243223443223442,2.8432234432234433,-1.7223443223443222,2.293772893772894,3.1362637362637367,-1.1399267399267397,2.700000000000003,8.399999999999991,0.064,-0.0599999999999999,0.074,11.0,4.200000000000003,-2.699999999999999,6.1,0.077,4.299999999999997,7.0,0.0479999999999999,0.15999999999999992,3.0,4.0,2.0,1.0,0.05800000000000005,7.0,7.0,2.0,1,2.5500000000000007,5.290000000000001,-10.909999999999997,3
Creighton,North Carolina,0.013000000000000012,8.42,3.66,0.0020000000000000018,-328,-0.048,-0.0499999999999999,5,0,0,1,0,-1,1,6,0.09722222222222221,0.06944444444444442,0.03076923076923077,-3.8172932330827063,-8.735338345864662,2.6007518796992484,4.362406015037594,3.3646616541353387,6.427819548872181,3.7586466165413537,4.62781954887218,1.2030075187969924,2.1240601503759398,3.1684210526315786,-3.293233082706767,-4.417293233082707,5.5,5.3999999999999915,0.067,-0.1619999999999999,-0.028999999999999894,5.3999999999999915,-0.5,3.0000000000000018,10.1,-0.03400000000000001,-4.800000000000001,7.200000000000005,0.027999999999999997,0.08800000000000008,7.0,6.0,3.0,2.0,0.2320000000000001,18.0,15.0,7.0,2,3.8500000000000014,4.56,-14.480000000000004,14
Cincinnati,Florida State,0.01100000000000001,1.5999999999999996,1.3399999999999999,0.066,-226,0.026999999999999903,0.033,0,0,0,1,0,0,0,-2,0.08333333333333337,0.10457516339869277,-0.08333333333333337,-1.5752895752895753,-6.268725868725869,1.6301158301158298,-4.7405405405405405,-1.4193050193050192,-2.8725868725868726,-2.1575289575289576,2.7042471042471043,1.25019305019305,-2.762934362934363,1.4772200772200776,3.6509652509652506,0.3397683397683397,3.200000000000003,0.0,-0.024999999999999998,-0.0829999999999998,0.048,3.799999999999997,2.3000000000000043,-4.300000000000001,4.700000000000001,0.05700000000000009,5.1,1.1000000000000012,-0.008,0.050999999999999934,2.0,0.0,0.0,0.0,-0.07599999999999996,3.0,1.0,0.0,0,1.4500000000000002,0.15999999999999837,-4.359999999999999,-6
NC State,Georgetown,0.07799999999999996,4.709999999999999,0.8900000000000006,0.035,102,0.045,0.022999999999999902,4,0,0,-1,0,1,0,-1,0.10416666666666663,0.2532894736842105,-0.010101010101010166,1.6936936936936937,2.5896805896805897,1.5004095004095004,-0.534807534807535,-0.3251433251433251,-1.078624078624079,-0.9230139230139229,1.4332514332514334,-1.9868959868959868,-0.8124488124488125,1.5438165438165439,-0.4553644553644553,-0.16871416871416867,-4.400000000000006,7.200000000000003,-0.012999999999999897,0.04699999999999999,0.046,2.200000000000003,-11.5,-1.1999999999999993,3.699999999999999,0.05299999999999999,-0.3000000000000007,0.6999999999999957,1.0061396160665481e-16,0.04299999999999993,5.0,1.0,1.0,0.0,0.027000000000000024,0.0,0.0,1.0,0,-4.68,9.38,-8.149999999999991,-3
